,values
MSSubClass,-0.0033385261202341673
LotFrontage,-0.00020431190601122998
LotArea,0.07290041743623767
YearBuilt,0.0018230941008554951
YearRemodAdd,0.0011904259859671943
MasVnrArea,1.603069533649382e-05
BsmtFinSF1,0.008372595511915083
BsmtFinSF2,-0.0010007267244597133
BsmtUnfSF,-0.0035166679319446484
TotalBsmtSF,0.021927268700779545
1stFlrSF,0.01455692913265717
2ndFlrSF,-0.004170252868571901
LowQualFinSF,-0.0036795959298920973
GrLivArea,0.46162413740403063
GarageYrBlt,-4.1042479467664144e-05
GarageArea,0.00011071777513583667
WoodDeckSF,0.004615233129473452
OpenPorchSF,0.002653988767351628
EnclosedPorch,0.0032903900050646664
3SsnPorch,0.003207072944116218
ScreenPorch,0.009724664227553678
MiscVal,-0.002621896301028407
MSZoning_C (all),-0.3364819883398978
MSZoning_FV,0.008669215420360235
MSZoning_RH,0.0
MSZoning_RL,0.0
MSZoning_RM,-0.03685823039006474
Street_Grvl,-0.0
Street_Pave,0.0
Alley_Grvl,-0.0
Alley_Pave,0.0149891525447733
LotShape_IR1,-0.005989140286608409
LotShape_IR2,0.0
LotShape_IR3,-0.0
LotShape_Reg,0.0
LandContour_Bnk,-0.02833939187796425
LandContour_HLS,0.0
LandContour_Low,-0.0
LandContour_Lvl,0.0
Utilities_AllPub,0.0
Utilities_NoSeWa,-0.0
LotConfig_Corner,0.00956601832349247
LotConfig_CulDSac,0.029752886785547578
LotConfig_FR2,-0.008658887808477294
LotConfig_FR3,-0.0
LotConfig_Inside,-0.0
LandSlope_Gtl,-0.0
LandSlope_Mod,0.006236073412170913
LandSlope_Sev,-0.0
Neighborhood_Blmngtn,0.0
Neighborhood_Blueste,-0.0
Neighborhood_BrDale,-0.0
Neighborhood_BrkSide,0.03745430796932995
Neighborhood_ClearCr,0.005825743676576975
Neighborhood_CollgCr,0.0
Neighborhood_Crawfor,0.11438305966356697
Neighborhood_Edwards,-0.061718309770983734
Neighborhood_Gilbert,0.0
Neighborhood_IDOTRR,-0.008716114937676208
Neighborhood_MeadowV,-0.03591439464127844
Neighborhood_Mitchel,-0.020663885546590946
Neighborhood_NAmes,-0.0
Neighborhood_NPkVill,0.0
Neighborhood_NWAmes,-0.0006259085661013452
Neighborhood_NoRidge,0.05991446206582357
Neighborhood_NridgHt,0.06319692781911612
Neighborhood_OldTown,-0.007070609876347483
Neighborhood_SWISU,0.0
Neighborhood_Sawyer,-0.0
Neighborhood_SawyerW,-0.0
Neighborhood_Somerst,0.039986893017230525
Neighborhood_StoneBr,0.09375502914869324
Neighborhood_Timber,-0.0
Neighborhood_Veenker,0.0
Condition1_Artery,-0.0
Condition1_Feedr,-0.0
Condition1_Norm,0.04995219482425318
Condition1_PosA,0.0
Condition1_PosN,0.0
Condition1_RRAe,-0.0
Condition1_RRAn,0.0
Condition1_RRNe,-0.0
Condition1_RRNn,0.0
Condition2_Artery,-0.0
Condition2_Feedr,0.0
Condition2_Norm,0.0
Condition2_PosA,0.0
Condition2_PosN,-0.13839764433814827
Condition2_RRAe,-0.0
Condition2_RRAn,-0.0
Condition2_RRNn,0.0
BldgType_1Fam,0.014129505304448975
BldgType_2fmCon,0.0
BldgType_Duplex,-0.0
BldgType_Twnhs,-0.0
BldgType_TwnhsE,0.0
HouseStyle_1.5Fin,-0.0
HouseStyle_1.5Unf,0.0
HouseStyle_1Story,-0.0
HouseStyle_2.5Fin,0.0
HouseStyle_2.5Unf,0.0
HouseStyle_2Story,-0.01878622601100489
HouseStyle_SFoyer,0.0
HouseStyle_SLvl,0.0
RoofStyle_Flat,0.0
RoofStyle_Gable,-0.003942187458196668
RoofStyle_Gambrel,-0.0
RoofStyle_Hip,0.0
RoofStyle_Mansard,0.0
RoofStyle_Shed,0.0
RoofMatl_ClyTile,-0.19959732778382885
RoofMatl_CompShg,-0.0
RoofMatl_Membran,0.0
RoofMatl_Metal,0.0
RoofMatl_Roll,-0.0
RoofMatl_Tar&Grv,-0.0
RoofMatl_WdShake,0.0
RoofMatl_WdShngl,0.04842520657804866
Exterior1st_AsbShng,-0.0
Exterior1st_AsphShn,-0.0
Exterior1st_BrkComm,-0.0
Exterior1st_BrkFace,0.07250964279875348
Exterior1st_CBlock,-0.0
Exterior1st_CemntBd,-0.0
Exterior1st_HdBoard,-0.001786193270701763
Exterior1st_ImStucc,-0.0
Exterior1st_MetalSd,0.007404294687921211
Exterior1st_Plywood,-0.0
Exterior1st_Stone,-0.0
Exterior1st_Stucco,0.0
Exterior1st_VinylSd,0.0011932890537121996
Exterior1st_Wd Sdng,-0.004218369172403113
Exterior1st_WdShing,0.0
Exterior2nd_AsbShng,-0.0
Exterior2nd_AsphShn,0.0
Exterior2nd_Brk Cmn,0.0
Exterior2nd_BrkFace,-0.0
Exterior2nd_CBlock,-0.0
Exterior2nd_CmentBd,-0.0
Exterior2nd_HdBoard,-0.0
Exterior2nd_ImStucc,0.0
Exterior2nd_MetalSd,0.0
Exterior2nd_Other,-0.0
Exterior2nd_Plywood,-0.0
Exterior2nd_Stone,-0.0
Exterior2nd_Stucco,-0.0
Exterior2nd_VinylSd,0.005842019642102522
Exterior2nd_Wd Sdng,0.0030040443557028834
Exterior2nd_Wd Shng,-0.0
MasVnrType_BrkCmn,-0.007682151422603061
MasVnrType_BrkFace,-0.0
MasVnrType_None,0.0010551579763586614
MasVnrType_Stone,0.0
ExterQual_Ex,0.00449971429792858
ExterQual_Fa,-0.0
ExterQual_Gd,0.0
ExterQual_TA,-0.016754627191479642
ExterCond_Ex,0.0
ExterCond_Fa,-0.028079452258502575
ExterCond_Gd,-0.0
ExterCond_Po,-0.0
ExterCond_TA,0.01275725952618764
Foundation_BrkTil,-0.014623672331449195
Foundation_CBlock,-0.0
Foundation_PConc,0.014025516281206863
Foundation_Slab,0.0
Foundation_Stone,0.0
Foundation_Wood,-0.0
BsmtQual_Ex,0.041587038691536134
BsmtQual_Fa,-0.0
BsmtQual_Gd,0.0
BsmtQual_TA,-0.016205520036065645
BsmtCond_Fa,-0.015903690934824296
BsmtCond_Gd,0.0
BsmtCond_Po,-0.0
BsmtCond_TA,0.0
BsmtExposure_Av,-0.0
BsmtExposure_Gd,0.039980519195500545
BsmtExposure_Mn,-0.0
BsmtExposure_No,-0.01720949681642348
BsmtFinType1_ALQ,0.004894017011219445
BsmtFinType1_BLQ,-0.0
BsmtFinType1_GLQ,0.01097943793604054
BsmtFinType1_LwQ,-0.0052061363528595065
BsmtFinType1_Rec,-0.0
BsmtFinType1_Unf,0.0
BsmtFinType2_ALQ,0.0
BsmtFinType2_BLQ,-0.0017694494856601028
BsmtFinType2_GLQ,0.0
BsmtFinType2_LwQ,0.0
BsmtFinType2_Rec,-0.000841965555702886
BsmtFinType2_Unf,-0.0
Heating_Floor,-0.0
Heating_GasA,-0.0
Heating_GasW,0.02055803603256946
Heating_Grav,-0.012849033902969615
Heating_OthW,-0.0
Heating_Wall,0.0
HeatingQC_Ex,0.027421431206692767
HeatingQC_Fa,-0.0
HeatingQC_Gd,0.000813025672234504
HeatingQC_Po,-0.0
HeatingQC_TA,-0.004044116278364699
CentralAir_N,-0.04362216230856656
CentralAir_Y,8.124940430840748e-17
Electrical_FuseA,0.0
Electrical_FuseF,0.0
Electrical_FuseP,0.0
Electrical_Mix,-0.0
Electrical_SBrkr,-0.0
KitchenQual_Ex,0.06659627780106273
KitchenQual_Fa,-1.5803106441235682e-05
KitchenQual_Gd,1.0747823835731092e-07
KitchenQual_TA,-0.0019436706240829956
Functional_Maj1,-0.0
Functional_Maj2,-0.05103407734147574
Functional_Min1,0.0
Functional_Min2,0.0
Functional_Mod,-0.0
Functional_Sev,-0.0
Functional_Typ,0.09115867259674966
FireplaceQu_Ex,0.0
FireplaceQu_Fa,-0.0
FireplaceQu_Gd,0.0011408344645258397
FireplaceQu_Po,-0.0
FireplaceQu_TA,0.0
GarageType_2Types,-0.0
GarageType_Attchd,0.026449978651840796
GarageType_Basment,-0.0
GarageType_BuiltIn,0.0
GarageType_CarPort,-0.0
GarageType_Detchd,0.03071445197746203
GarageFinish_Fin,0.002382784404917863
GarageFinish_RFn,0.0
GarageFinish_Unf,-0.005743748242983553
GarageQual_Ex,0.0
GarageQual_Fa,-0.007823502563017455
GarageQual_Gd,0.013042790281110163
GarageQual_Po,-0.0
GarageQual_TA,0.0
GarageCond_Ex,0.0
GarageCond_Fa,-0.004035328494747074
GarageCond_Gd,0.0
GarageCond_Po,0.0
GarageCond_TA,0.028498928479468107
PavedDrive_N,-0.0
PavedDrive_P,-0.0
PavedDrive_Y,0.0006984197717882316
PoolQC_Ex,0.0
PoolQC_Fa,-0.0
PoolQC_Gd,-0.0
Fence_GdPrv,0.004383660196035495
Fence_GdWo,-0.02298153104376724
Fence_MnPrv,0.0009706738819802433
Fence_MnWw,-0.0
MiscFeature_Gar2,0.0
MiscFeature_Othr,-0.0
MiscFeature_Shed,-0.0
MiscFeature_TenC,-0.0
SaleType_COD,-0.006179612478852662
SaleType_CWD,0.0
SaleType_Con,0.0
SaleType_ConLD,0.0
SaleType_ConLI,-0.0
SaleType_ConLw,-0.0
SaleType_New,0.0014827138222131568
SaleType_Oth,0.0
SaleType_WD,-0.028044590320897532
SaleCondition_Abnorml,-0.0680092391061993
SaleCondition_AdjLand,0.0
SaleCondition_Alloca,0.0
SaleCondition_Family,-0.0257582977443925
SaleCondition_Normal,0.0012514650518490316
SaleCondition_Partial,0.0
OverallQual_1,-0.0
OverallQual_2,-0.0
OverallQual_3,-0.09078077485332224
OverallQual_4,-0.04619867928156238
OverallQual_5,-0.023505193866034352
OverallQual_6,0.0
OverallQual_7,0.034030542196855716
OverallQual_8,0.08943069361879162
OverallQual_9,0.14898456543500124
OverallQual_10,0.09617064576429485
OverallCond_1,-0.0
OverallCond_2,-0.0
OverallCond_3,-0.14955223625376532
OverallCond_4,-0.06759852902443611
OverallCond_5,-0.031168123009848277
OverallCond_6,0.0015426252627928733
OverallCond_7,0.045111290793391344
OverallCond_8,0.043028393330054385
OverallCond_9,0.08505688457361363
BsmtFullBath_0,-0.019113660317874925
BsmtFullBath_1,0.0
BsmtFullBath_2,-0.0
BsmtFullBath_3,0.0
BsmtHalfBath_0,-0.0
BsmtHalfBath_1,0.0
BsmtHalfBath_2,0.0
FullBath_0,-0.0
FullBath_1,-0.01017262765971356
FullBath_2,0.0
FullBath_3,0.05944585962372501
HalfBath_0,-0.0
HalfBath_1,0.014614020893423427
HalfBath_2,-0.0
BedroomAbvGr_0,0.0
BedroomAbvGr_1,-0.011085022062326816
BedroomAbvGr_2,0.009530120649120222
BedroomAbvGr_3,-0.0
BedroomAbvGr_4,0.01492755004425208
BedroomAbvGr_5,-0.0
BedroomAbvGr_6,-0.0
BedroomAbvGr_8,0.0
KitchenAbvGr_0,0.0
KitchenAbvGr_1,0.026131380679333783
KitchenAbvGr_2,-0.021764307459221758
KitchenAbvGr_3,-0.0
TotRmsAbvGrd_2,-0.0
TotRmsAbvGrd_3,0.0
TotRmsAbvGrd_4,-0.0
TotRmsAbvGrd_5,-0.003244585700942477
TotRmsAbvGrd_6,-0.0
TotRmsAbvGrd_7,-0.0
TotRmsAbvGrd_8,0.0
TotRmsAbvGrd_9,0.0
TotRmsAbvGrd_10,0.028176208115976584
TotRmsAbvGrd_11,-0.004213506105555637
TotRmsAbvGrd_12,-0.0
TotRmsAbvGrd_14,0.0
Fireplaces_0,-0.027594345714401818
Fireplaces_1,0.00158446901822937
Fireplaces_2,0.031790227299621304
Fireplaces_3,-0.005085967504619502
GarageCars_0,-0.0
GarageCars_1,-0.008694672366408083
GarageCars_2,-0.0
GarageCars_3,0.03347662055569981
GarageCars_4,0.0
PoolArea_0,-0.0
PoolArea_480,-0.33841968616717694
PoolArea_512,0.0
PoolArea_519,-0.0
PoolArea_555,0.0
PoolArea_576,0.0
PoolArea_648,0.0
PoolArea_738,0.0
MoSold_1,-0.010521887027870956
MoSold_2,-0.0
MoSold_3,-0.00015326075139557817
MoSold_4,0.0
MoSold_5,0.012355509804212508
MoSold_6,0.007776896869612198
MoSold_7,0.011682268853481295
MoSold_8,-0.0
MoSold_9,-0.0
MoSold_10,-0.0
MoSold_11,-0.0
MoSold_12,-0.0
YrSold_2006,0.003425691077279915
YrSold_2007,-0.0
YrSold_2008,0.002865260458483287
YrSold_2009,-0.006488531849294757
YrSold_2010,-0.0
